Q99638	R-ICO-012378	9-1-1 complex
Q96PM9	R-ICO-013544	ZNF385A
Q9C040	R-ICO-013551	TRIM
Q8IYL2	R-ICO-013554	TRMT44
P10914	R-ICO-013560	IRF
O60906	R-ICO-013561	SMPD2
O43734	R-ICO-013566	CIKS
P01137	R-ICO-013567	TGFB1
P08476	R-ICO-013568	ACTIVIN
P12643	R-ICO-013584	BMP
O43561-2	R-ICO-013585	LAT
P48729	R-ICO-013589	CSNK1A1
P10636	R-ICO-013606	Tau protein
Q13882	R-ICO-013621	PTK6
P42680	R-ICO-013622	TEC
Q07912	R-ICO-013623	ACK
P41240	R-ICO-013624	CSK
P51668	R-ICO-013625	UBE2D1
P07148	R-ICO-013642	FABP
P08235	R-ICO-013643	NR3C2
P03372	R-ICO-013644	ESR
Q13133	R-ICO-013646	NR1H3
P29762	R-ICO-013647	CRABP
Q03181	R-ICO-013648	PPARD
P13473	R-ICO-013650	LAMP2
P11142	R-ICO-013652	HSPA8
P78396	R-ICO-013656	CCNA
P28223	R-ICO-013657	HTR2A
P08514	R-ICO-013658	ITGA2B
P17301	R-ICO-013659	ITGA2
P49069	R-ICO-013660	CAMLG
O00258	R-ICO-013661	GET1
O43681	R-ICO-013662	ASNA1
P98155	R-ICO-013664	VLDLR
P78509	R-ICO-013665	RELN
P38936	R-ICO-013666	CDKN1A
Q15759	R-ICO-013667	MAPK11-14
Q13233	R-ICO-013668	MAP3K1-4
Q9UBE8	R-ICO-013669	NLK
Q9Y2U5	R-ICO-013670	MAP3K2,3
P45985	R-ICO-013671	MAP2K4,7
Q13164	R-ICO-013672	MAPK7
Q13163	R-ICO-013673	MAP2K5
Q7L7X3	R-ICO-013674	MAP3K16,17
P45983	R-ICO-013675	MAPK8-10
Q8TD08	R-ICO-013676	MAPK15
P46734	R-ICO-013677	MAP2K3,6
P05067	R-ICO-013679	Amyloid Beta Plaque
P05067	R-ICO-013682	Amyloid Precursor Protein
O75581	R-ICO-013683	LRP6/FZD 02
Q9UP38	R-ICO-013684	FZD 02
P56817	R-ICO-013685	Beta-secretase
P06213	R-ICO-013686	INSR 02
O75581	R-ICO-013688	LRP6
Q9NRY4	R-ICO-013689	ARHGAP35
P15509	R-ICO-013690	CSFRA
P17676	R-ICO-013691	CEBPB
Q15744	R-ICO-013692	CEBPE
P04141	R-ICO-013693	CSF2
Q99062	R-ICO-013694	CSF3R
P32927	R-ICO-013695	CSFRB
O15269	R-ICO-013697	SPT1
P49715	R-ICO-013698	CEBPA
P09919	R-ICO-013699	CSF3
P16220	R-ICO-013700	CREB1
Q01196	R-ICO-013701	RUNX1
O15085	R-ICO-013702	ARHGEF11,12
P49771	R-ICO-013703	FLT3LG
P02549	R-ICO-013704	SPTA
P24844	R-ICO-013705	MRLC
P36888	R-ICO-013706	FLT3
P23528	R-ICO-013707	CFL1
P11277	R-ICO-013708	SPTB
Q9Y490	R-ICO-013709	TLN1
O75582	R-ICO-013710	RPS6KA5
O60331	R-ICO-013711	PIP5K1C
P18433	R-ICO-013712	PTPRA
Q13459	R-ICO-013714	MYO9B
Q07889	R-ICO-013715	SOS
P00403	R-ICO-013716	MT-CO2
Q8IVG9	R-ICO-013717	MT-RNR2
P03905	R-ICO-013718	MT-ND4
Q7Z460	R-ICO-013720	CLASP
Q9HCK4	R-ICO-013721	ROBO2
P16333	R-ICO-013722	NCK
P03886	R-ICO-013723	MT-ND1
P03928	R-ICO-013725	MT-ATP8
Q99551	R-ICO-013726	MTERF1
Q9Y6N7	R-ICO-013727	ROBO1
Q01518	R-ICO-013728	CAP
P03923	R-ICO-013729	MT-ND6
P03891	R-ICO-013730	MT-ND2
P07737	R-ICO-013732	Profilin
Q96MS0	R-ICO-013733	ROBO3
O75093	R-ICO-013734	SLIT1-3
Q99435	R-ICO-013735	NELL2
Q9C0H5	R-ICO-013736	ARHGAP39
P03901	R-ICO-013738	MT-ND4L
P00156	R-ICO-013739	MT-CYB
P00846	R-ICO-013740	MT-ATP6
P00395	R-ICO-013741	MT-CO1
P03897	R-ICO-013742	MT-ND3
P03915	R-ICO-013743	MT-ND5
Q8N8S7	R-ICO-013745	Ena/VASP Proteins
P00414	R-ICO-013746	MT-CO3
P00519	R-ICO-013748	ABL
A0A0C5B5G6	R-ICO-013749	MT-RNR1
Q8WTX7	R-ICO-013753	CASTOR1
Q96CG3	R-ICO-013756	TIFA
Q96QP1	R-ICO-013762	ALPK1
Q8NBW4	R-ICO-013764	SLC38A9
Q9BVC4	R-ICO-013766	mTORC1
Q9Y6P5	R-ICO-013767	SESN1,2
Q7L523	R-ICO-013771	RRAGA,B
Q6IAA8	R-ICO-013775	Ragulator
Q9HB90	R-ICO-013778	RRAGC,D
P20042	R-ICO-013802	EIF2S2
P54646	R-ICO-013804	AMPK
Q9P2K8	R-ICO-013806	EIF2AK4
Q05469	R-ICO-013810	LIPE
P05198	R-ICO-013814	EIF2S1
Q07869	R-ICO-013815	PPARA
P41091	R-ICO-013817	EIF2S3
O76082	R-ICO-013821	SLC22A5
P53007	R-ICO-013837	SLC25A1
P33897	R-ICO-013839	ABCD1
O43772	R-ICO-013843	SLC25A20
P01275	R-ICO-013845	GCG
Q9BQI3	R-ICO-013860	EIF2AK1
Q8TDI8	R-ICO-013925	MET complex
P15498	R-ICO-013927	VAV1
Q96MS0	R-ICO-013931	ROBO3.2
Q96QU1	R-ICO-013933	PCDH15-CDH23
Q96QU1	R-ICO-013937	PCDH15
Q9H251	R-ICO-013941	CDH23
Q96MS0	R-ICO-013943	ROBO3.1
P01730	R-ICO-013946	CD4
P58743	R-ICO-013949	SLC26A5 tetramer
P09693	R-ICO-013959	detailed CD3
P09693	R-ICO-013961	detailed TCR-CD3-MHC II
P09693	R-ICO-013969	detailed TCR-CD3
P30291	R-ICO-013970	WEE1
Q9BQ51	R-ICO-013972	detailed PDCD1LG2
P61088	R-ICO-013973	UBE2N
A7J8L2	R-ICO-013976	pp1ab
O75144	R-ICO-013978	ICOSLG
Q9NWQ8	R-ICO-013980	PAG1
Q9Y2R2	R-ICO-013981	PTPN22
O15530	R-ICO-013982	PDPK1
O14920	R-ICO-013986	IKBKB
O75791	R-ICO-013987	GRAP2
Q7Z6A9	R-ICO-013988	BTLA
P60484	R-ICO-013990	PTEN
O15111	R-ICO-013992	CHUK
Q9BYF1	R-ICO-013993	ACE2
Q04759	R-ICO-013995	PRKCQ
Q9NYJ8	R-ICO-013997	TAB2
Q9UDY8	R-ICO-013999	MALT1
P42081	R-ICO-014003	detailed CD86
S5Y3P7	R-ICO-014004	pp1a
Q9Y6K9	R-ICO-014005	IKBKG
P16410	R-ICO-014006	CTLA4
P08575	R-ICO-014007	PTPRC
Q92835	R-ICO-014008	INPP5D
O95999	R-ICO-014010	BCL10
Q9BXL7	R-ICO-014011	CARD11
P25963	R-ICO-014012	NFKBIA
Q9Y6W8	R-ICO-014013	ICOS
Q9NZQ7	R-ICO-014014	detailed CD274
Q08881	R-ICO-014015	ITK
Q15116	R-ICO-014017	PDCD1
O43557	R-ICO-014018	detailed TNFSF14
Q99640	R-ICO-014020	PKMYT1
Q9UHD2	R-ICO-014023	TBK1
P10747	R-ICO-014024	detailed CD28
Q15399	R-ICO-014025	TLR2:1,2:6 heterodimer
O15455	R-ICO-014026	TLR3 homodimer
O00206	R-ICO-014028	TLR4 homodimer
P06681	R-ICO-014034	C2
P01024	R-ICO-014035	C3a
P33681	R-ICO-014036	detailed CD80
Q14653	R-ICO-014037	IRF3
P06681	R-ICO-014038	C2a
P05412	R-ICO-014039	JUN
P15336	R-ICO-014041	ATF2
P0C0L5	R-ICO-014042	C4b
P00746	R-ICO-014045	CFD
P04958	R-ICO-014049	tetX heavy chain
P11488	R-ICO-014050	GNAT1
P10643	R-ICO-014052	C7
P00588	R-ICO-014053	DTB
P00751	R-ICO-014055	CFB
P04626	R-ICO-014056	ERBB2 homodimer
P04958	R-ICO-014057	tetX
P60880	R-ICO-014060	SNAP25
P04626	R-ICO-014061	ERBB2/EGFR heterodimer
P01031	R-ICO-014063	detailed MAC
P63027	R-ICO-014065	VAMP2
P02748	R-ICO-014066	C9
P13671	R-ICO-014068	C6
Q9NWZ3	R-ICO-014069	IRAK4
P07357	R-ICO-014070	C8
P0DPI0	R-ICO-014073	botA heavy chain
O60602	R-ICO-014074	TLR5,7,8,9 homodimer
P0C0L4	R-ICO-014075	C4a
Q15759	R-ICO-014078	MAPK11
Q7L0J3	R-ICO-014079	Synaptic vesicle protein
P27918	R-ICO-014080	CFP
P06681	R-ICO-014081	C2b
P0DPI0	R-ICO-014082	botA
P21439	R-ICO-014085	ABCB4
P0C0L4	R-ICO-014086	C4
Q13325	R-ICO-014087	IFIT5
Q9HCE7	R-ICO-014088	SMURF
Q8IWL1	R-ICO-014089	SFTPA2
Q86UK0	R-ICO-014090	ABCA12
P13423	R-ICO-014092	pagA
Q09428	R-ICO-014096	ABCC8
P00751	R-ICO-014097	Bb
O14678	R-ICO-014099	ABCD4
P09913	R-ICO-014100	IFIT2
P01024	R-ICO-014101	C3
Q9H222	R-ICO-014102	ABCG5
P36897	R-ICO-014105	TGFBR1
P40136	R-ICO-014107	cya
O95405-1	R-ICO-014109	ZFYVE9
P11686	R-ICO-014110	SFTPC
Q9H6X2	R-ICO-014112	ANTXR1-2
Q92781	R-ICO-014113	RDH5
Q99758	R-ICO-014114	ABCA3
O95255	R-ICO-014115	ABCC6
Q9NP58	R-ICO-014116	ABCB6
P07988	R-ICO-014117	SFTPB
P11226	R-ICO-014118	detailed MBL dodecamer
Q9H221	R-ICO-014120	ABCG8
O95436	R-ICO-014122	SLC34A2
P15917	R-ICO-014124	lef
P37173	R-ICO-014126	TGFBR2
Q96PU5	R-ICO-014128	NEDD4L
O14879	R-ICO-014129	IFIT3
O95342	R-ICO-014130	ABCB11
O95477	R-ICO-014131	ABCA1
P00751	R-ICO-014132	Ba
O60706	R-ICO-014133	ABCC9
P09914	R-ICO-014134	IFIT1
P51608	R-ICO-014136	MECP2
P02753	R-ICO-014137	RBP4
Q9BX79	R-ICO-014139	STRA6
Q92887	R-ICO-014140	ABCC2
P62873	R-ICO-014142	GNB1
P49815	R-ICO-014144	TSC2
P00588	R-ICO-014145	DTA
P16499	R-ICO-014146	PDE6A
P69726	R-ICO-014147	vpr
P22681	R-ICO-014148	CBL
P16234	R-ICO-014149	PDGFRA
Q9BXM7	R-ICO-014150	PINK1
Q9Y3Z3	R-ICO-014151	SAMHD1
Q12778	R-ICO-014154	FOXO
Q5JTC6	R-ICO-014155	AMER1
P51681	R-ICO-014157	CCR5
P04608	R-ICO-014161	tat
Q9H208	R-ICO-014163	Olfactory Receptor
O94907	R-ICO-014164	DKK1
Q8IVP5	R-ICO-014165	FUNDC1
P00451	R-ICO-014166	F8
P04958	R-ICO-014167	tetX light chain
P78363	R-ICO-014168	ABCA4
P01559	R-ICO-014169	sta1
Q8WUM4	R-ICO-014172	PDCD6IP
P04578	R-ICO-014173	env
P29973	R-ICO-014175	CNG channel
Q05066	R-ICO-014176	SRY
O60260	R-ICO-014177	PRKN
P22736	R-ICO-014180	NR4A1
Q92934	R-ICO-014181	BAD
P0DPI0	R-ICO-014183	botA light chain
O95237	R-ICO-014184	LRAT
Q96B36	R-ICO-014185	AKT1S1
Q96NR8	R-ICO-014186	RDH12
P21926	R-ICO-014187	CD9
P63211	R-ICO-014190	GNGT1
Q9HC16	R-ICO-014194	APOBEC3G
P04585	R-ICO-014196	Integrases
Q9NQB0	R-ICO-014197	TCF7L2
Q68DV7	R-ICO-014198	RNF43
Q9Y5R6	R-ICO-014199	DMRT1
O95271	R-ICO-014200	TNKS
P25092	R-ICO-014201	GUCY2C
Q9UBN7	R-ICO-014203	HDAC6
P46527	R-ICO-014204	CDKN1B
P38405	R-ICO-014209	GNAL
P04618	R-ICO-014210	rev
Q4G0J3	R-ICO-014211	LARP7
P04591	R-ICO-014212	gag (MA)
Q9H492	R-ICO-014214	detailed Phagophore
P08100	R-ICO-014215	OPSINS
Q9UBS0	R-ICO-014216	RPS6KB2
Q14204	R-ICO-014217	Dynein complex
P49840	R-ICO-014218	GSK3
O75197	R-ICO-014219	LRP5
P48436	R-ICO-014220	SOX9
O75475	R-ICO-014222	PSIP1
O14980	R-ICO-014223	XPO1
P05919	R-ICO-014224	vpu
P04585	R-ICO-014225	gag-pol
Q99541	R-ICO-014227	PLIN
Q15399	R-ICO-014228	TLR
P31749	R-ICO-014229	AKT
Q99075	R-ICO-014231	HBEGF
P69723	R-ICO-014233	vif
P35913	R-ICO-014234	PDE6B
P00748	R-ICO-014236	F12
O60266	R-ICO-014237	ADCY3
Q9C035	R-ICO-014238	TRIM5
P04585	R-ICO-014239	Reverse Transcriptase
Q13363	R-ICO-014240	CTBP
P62826	R-ICO-014242	RAN
P09601	R-ICO-014243	HMOX1
Q8NB16	R-ICO-014244	MLKL
Q10469	R-ICO-014246	MGAT2
P04049	R-ICO-014248	RAF1
P50747	R-ICO-014251	HLCS
Q5BKT4	R-ICO-014252	ALG10
Q6Y288	R-ICO-014254	B3GLCT
Q96F25	R-ICO-014256	ALG14
P05166	R-ICO-014257	APO-CARBOXYLASES
P99999	R-ICO-014258	CYCS
P51878	R-ICO-014259	CASP5
P04601	R-ICO-014260	nef
O94955	R-ICO-014265	RHOBTB3
P49247	R-ICO-014266	RPIA
Q9Y672	R-ICO-014267	ALG6
Q13724	R-ICO-014268	MOGS
Q9UKY4	R-ICO-014269	POMT2
Q9UKM7	R-ICO-014270	MAN1B1
Q9H553	R-ICO-014271	ALG2
P37837	R-ICO-014272	TALDO1
Q07812	R-ICO-014273	BAX/BAK pore
P29466	R-ICO-014275	CASP1
Q16236	R-ICO-014276	NFE2L2
Q9UM73	R-ICO-014277	ALK
Q96FZ7	R-ICO-014279	ESCRT-III spiral structure
P21359	R-ICO-014280	NF1
P49662	R-ICO-014282	CASP4
Q8IXI2	R-ICO-014283	MIRO
P43251	R-ICO-014284	BTD
Q9BVK2	R-ICO-014286	ALG8
Q2TAA5	R-ICO-014287	ALG11
O75352	R-ICO-014288	MPDU1
Q9Y6A1	R-ICO-014290	POMT1
Q14435	R-ICO-014291	GALNT3
Q9H6U8	R-ICO-014293	ALG9
Q9BT22	R-ICO-014294	ALG1
Q15078	R-ICO-014296	CDK5R1-p25
Q14116	R-ICO-014298	IL-18
O14867	R-ICO-014299	BACH1
Q92616	R-ICO-014301	GCN1
Q01718	R-ICO-014302	MC2R
P31946	R-ICO-014304	YWHAB
P57764	R-ICO-014305	GSDMD
Q9H3H5	R-ICO-014308	DPAGT1
Q96EU7	R-ICO-014310	C1GALT1C1
Q92685	R-ICO-014311	ALG3
O14807	R-ICO-014313	MRAS,SHOC2,PP1
P01189	R-ICO-014315	ACTH
Q96AA3	R-ICO-014316	RFT1
Q8WZA1	R-ICO-014317	POMGNT1
Q9BV10	R-ICO-014318	ALG12
Q07021	R-ICO-014319	C1QBP
P57764	R-ICO-014320	GSDMD pore complex
P36969	R-ICO-014324	GPX4
P84077	R-ICO-014326	ARF
P42224	R-ICO-014327	STAT1,3,5
P54802	R-ICO-014329	NAGLU
P35475	R-ICO-014330	IDUA
O60602	R-ICO-014331	TLR5
P08236	R-ICO-014332	GUSB
Q969H0	R-ICO-014333	FBXW7
Q8NES3	R-ICO-014334	LFNG
Q68CP4	R-ICO-014335	HGSNAT
P46531	R-ICO-014336	NOTCH1 t(7;9)(q34;q34.3)
Q13616	R-ICO-014337	CUL1
P15848	R-ICO-014338	ARSB
P46531	R-ICO-014339	NOTCH1-ICD
P15586	R-ICO-014340	GNS
O00548	R-ICO-014341	DLL/JAG ligand
Q8IXK2	R-ICO-014342	GALNT12
P62877	R-ICO-014343	RBX1
P51688	R-ICO-014344	SGSH
P22304	R-ICO-014345	IDS
P63208	R-ICO-014346	SKP1
P34059	R-ICO-014347	GALNS
O95461	R-ICO-014348	LARGE1
P16278	R-ICO-014349	GLB1
P05155	R-ICO-014351	SERPING1
Q9Y4U1	R-ICO-014358	MMACHC
A8MTJ3	R-ICO-014359	GNAT3
Q96EY8	R-ICO-014365	MMAB
P03951	R-ICO-014366	F11
O15527	R-ICO-014367	OGG1
Q00722	R-ICO-014368	PLCB2
Q7RTX0	R-ICO-014376	TAS1R3
P22033	R-ICO-014377	MMUT
Q8TAT5	R-ICO-014379	NEIL3
Q12794	R-ICO-014380	HYAL1
Q7RTX1	R-ICO-014381	TAS1R1
Q04206	R-ICO-014382	RELA
Q99707	R-ICO-014383	MTR
O60494	R-ICO-014384	CUBN
Q9P2W3	R-ICO-014399	GNG13
P20062	R-ICO-014400	TCN2
Q9UBK8	R-ICO-014401	MTRR
Q9UIF7-3	R-ICO-014402	MUTYH
P00742	R-ICO-014403	F10
Q9H1C4	R-ICO-014406	UNC93B1
P27352	R-ICO-014407	CBLIF
Q9BXJ7	R-ICO-014408	AMN
Q96FI4	R-ICO-014425	NEIL1
P04949	R-ICO-014426	Bacteria with flagellum
P78549	R-ICO-014429	NTHL1
Q9H3L0	R-ICO-014430	MMADHC
P62873	R-ICO-014431	GNB1,3
P33527	R-ICO-014432	ABCC1
Q9NPF0	R-ICO-014441	CD320
Q8IVH4	R-ICO-014442	MMAA
Q9Y5N6	R-ICO-014443	ORC6
